time,x,y,z,p1
7.0,-17284.54596041491,-2737.603138204038,4.455032620941839,0.019021130325903073
7.1000000000000005,-17381.204888536347,-3599.474492578098,4.490137878803078,0.018921707176550905
7.2,-17434.49690031536,-4476.417968967382,4.524135262330098,0.01881761537908451
7.300000000000001,-17443.222520069525,-5366.235935489555,4.557016383177227,0.018708880616597347
7.4,-17406.29422565317,-6266.651524537885,4.588773128419906,0.01859552971776503
7.5,-17322.74123458663,-7175.314356845432,4.619397662556434,0.018477590650225736
7.6000000000000005,-17191.71399685437,-8089.806539736381,4.648882429441256,0.018355092513679627
7.7,-17012.488379207352,-9007.648924516034,4.677220154149336,0.018228065532708906
7.800000000000001,-16784.4695265769,-9926.30760713224,4.704403844771128,0.01809654104932039
7.9,-16507.195387023337,-10843.200655463103,4.730426794137727,0.017960551515212312
8.0,-16180.339887498949,-11755.705045849461,4.755282581475767,0.01782013048376736
8.1,-15803.715748601184,-12661.163790798024,4.7789650739916505,0.01767531260177387
8.200000000000001,-15377.276927424416,-13556.893239134866,4.801468428384716,0.01752613360087727
8.3,-14901.120678586163,-14440.190529290527,4.822787092288991,0.017372630288763825
8.4,-14375.489224502464,-15308.341175849646,4.842915805643155,0.017214840540078873
8.5,-13800.771027016412,-16158.62676900065,4.861849601988383,0.017052803287081846
8.6,-13177.501653538995,-16988.332766077343,4.879583809693736,0.016886558510040305
8.700000000000001,-12506.3642319413,-17794.756353994268,4.896114053108828,0.016716147227365405
8.8,-11788.189489537921,-18575.214361044338,4.911436253643443,0.016541611485491235
8.9,-11023.955372621065,-19327.051196249755,4.92554663077387,0.016362994348500467
9.0,-10214.786244139805,-20047.646794238277,4.938441702975689,0.016180339887498948
9.1,-9361.95165826623,-20734.42454345637,4.950118288582788,0.01599369316974181
9.200000000000001,-8466.86471174759,-21384.85917542979,4.9605735065723895,0.015803100247513805
9.3,-7531.0799731069765,-21996.484592740428,4.969804777275899,0.015608608146766595
9.4,-6556.290991921875,-22566.901613408165,4.9778098230154,0.015410264855515785
9.5,-5544.327391577767,-23093.785609444814,4.9845866686656395,0.015208119312000619
9.600000000000001,-4497.151550057371,-23574.894017488536,4.990133642141358,0.015002221392609188
9.700000000000001,-3416.854874486365,-24008.073699626526,4.99444937480985,0.014792621899572192
9.8,-2305.6536763035924,-24391.268132775465,4.997532801828658,0.014579372548428228
9.9,-1165.8846550636538,-24722.52440530876,4.999383162408303,0.014362525955263777
10.0,-4.5924254968025744e-12,-25000.0,5.0,0.014142135623730952
10.100000000000001,1189.437880418511,-25221.969342789747,4.999383162408303,0.013918255931846282
10.200000000000001,2399.7619896221195,-25386.83009737854,4.997532801828658,0.01369094211857377
10.3,3628.2067223927506,-25493.109186201356,4.99444937480985,0.013460250270195467
10.4,4871.914179228831,-25539.468518945905,4.990133642141358,0.013226237306473036
10.5,6127.940801217524,-25524.71041043901,4.9845866686656395,0.012988960966603676
